time	x
0	0
0.01	0.035851648
0.02	0.056268004
0.03	0.450824176
0.04	0.521967033
0.05	0.917449792
0.06	1.331148851
0.07	1.592426492
0.08	2.349798716
0.09	3.051717033
0.1	3.951885952
0.11	4.709157509
0.12	5.438095238
0.13	6.424078144
0.14	7.195980732
0.15	8.432967033
0.16	9.395467033
0.17	10.0856456
0.18	11.1907652
0.19	12.26785075
0.2	13.23054768
0.21	14.69462117
0.22	15.80652075
0.23	16.96319959
0.24	18.40304003
0.25	19.91644529
0.26	21.43296703
0.27	22.86676985
0.28	24.51917393
0.29	25.82770388
0.3	27.46886447
0.31	29.20677656
0.32	30.49535235
0.33	32.27686947
0.34	34.01132524
0.35	35.89702953
0.36	37.55061409
0.37	39.21594576
0.38	41.07655678
0.39	42.81891745
0.4	44.65070897
0.41	46.52380673
0.42	48.65010989
0.43	50.76856025
0.44	52.74084105
0.45	54.84879437
0.46	57.00743512
0.47	59.04296703
0.48	60.96443556
0.49	63.21103155
0.5	65.47309442
0.51	67.69450549
0.52	70.61345484
0.53	72.29524248
0.54	74.73083937
0.55	77.18893718
0.56	79.36023976
0.57	81.92599029
0.58	84.47193762
0.59	86.60685238
0.6	89.30665124
0.61	91.84053006
0.62	94.42951876
0.63	96.86721361
0.64	99.55954046
0.65	102.1636813
0.66	104.707967
0.67	107.456044
0.68	109.8543956
0.69	113.140467
0.7	115.5523915
0.71	118.9781283
0.72	121.6896835
0.73	124.8649342
0.74	127.9523548
0.75	130.6302643
0.76	133.7688894
0.77	136.8740961
0.78	140.1772293
0.79	143.3175824
0.8	146.4852251
0.81	149.8911066
0.82	153.330567
0.83	156.670467
0.84	160.3451622
0.85	164.0890646
0.86	167.9591965
0.87	171.7086952
0.88	174.9640015
0.89	178.7616799
0.9	183.1978022
0.91	186.2676445
0.92	191.1363378
0.93	194.8878057
0.94	196.982967
