time	x
0	0
0.020012007	1.134
0.040024014	0.601
0.060036022	2.116
0.080048029	3.179
0.100060036	7.247
0.120072043	10.323
0.14008405	12.208
0.160096058	17.096
0.180108065	23.065
0.200120072	29.256
0.220132079	36.328
0.240144086	43.253
0.260156094	52.323
0.280168101	61.137
0.300180108	70.134
0.320192115	80.624
0.340204122	89.511
0.36021613	98.997
0.380228137	107.84
0.400240144	119.503
0.420252151	129.552
0.440264158	140.88
0.460276166	152.91
0.480288173	165.334
0.50030018	177.759
0.520312187	191.229
0.540324195	206.298
0.560336202	222.152
0.580348209	237.149
0.600360216	252.945
0.620372223	268.629
0.640384231	284.885
0.660396238	301.051
0.680408245	319.028
0.700420252	336.563
0.720432259	354.861
0.740444267	372.848
0.760456274	391.026
0.780468281	409.809
0.800480288	430.358
0.820492295	450.462
0.840504303	471.864
0.86051631	491.819
0.880528317	512.314
0.900540324	534.589
0.920552331	557.456
0.940564339	579.452
0.960576346	599.084
