time	x
0	0
0.020012007	0.478
0.040024014	0.167
0.060036022	0.8
0.080048029	3.255
0.100060036	6.201
0.120072043	9.095
0.14008405	11.989
0.160096058	17.572
0.180108065	21.031
0.200120072	25.81
0.220132079	30.867
0.240144086	37
0.260156094	42.915
0.280168101	48.462
0.300180108	54.824
0.320192115	61.309
0.340204122	67.5
0.36021613	73.866
0.380228137	82.508
0.400240144	89.761
0.420252151	96.233
0.440264158	103.609
0.460276166	112.469
0.480288173	120.771
0.50030018	130.237
0.520312187	138.743
0.540324195	147.173
0.560336202	155.787
0.580348209	168.035
0.600360216	178.301
0.620372223	189.035
0.640384231	201.287
0.660396238	213.406
0.680408245	225.252
0.700420252	239.031
0.720432259	252.24
0.740444267	267.572
0.760456274	281.196
0.780468281	294.426
0.800480288	309.815
0.820492295	324.025
0.840504303	338.618
0.86051631	353.987
0.880528317	370.154
0.900540324	385.973
0.920552331	402.262
0.940564339	420.366
0.960576346	437.182
0.980588353	454.595
1.00060036	471.285
1.020612367	488.78
1.040624375	507.197
1.060636382	525.925
1.080648389	545.528
1.100660396	563.369
