time	x
0	0
0.020012007	0.927
0.040024014	0.923
0.060036022	3.603
0.080048029	5.82
0.100060036	8.542
0.120072043	12.438
0.14008405	16.572
0.160096058	23.636
0.180108065	27.224
0.200120072	33.009
0.220132079	39.011
0.240144086	47.055
0.260156094	52.472
0.280168101	60.8
0.300180108	69.483
0.320192115	76.462
0.340204122	84.217
0.36021613	93.384
0.380228137	102.337
0.400240144	112.735
0.420252151	122.662
0.440264158	133.001
0.460276166	143.754
0.480288173	154.622
0.50030018	165.367
0.520312187	178.27
0.540324195	190.181
0.560336202	202.869
0.580348209	214.834
0.600360216	229.956
0.620372223	243.077
0.640384231	257.437
0.660396238	273.417
0.680408245	290.664
0.700420252	305.603
0.720432259	322.898
0.740444267	340.58
0.760456274	356.821
0.780468281	376.307
0.800480288	396.172
0.820492295	415.572
0.840504303	434.623
0.86051631	456.983
0.880528317	477.289
0.900540324	500.896
0.920552331	522.378
0.940564339	544.3
0.960576346	567.583
0.980588353	582.665
