time	x
0	0
0.020012007	1.693
0.040024014	1.667
0.060036022	2.801
0.080048029	5.118
0.100060036	6.894
0.120072043	9.304
0.14008405	12.507
0.160096058	16.145
0.180108065	18.575
0.200120072	24.042
0.220132079	27.432
0.240144086	33.444
0.260156094	39.654
0.280168101	44.715
0.300180108	49.412
0.320192115	56.722
0.340204122	63.016
0.36021613	71.023
0.380228137	78.047
0.400240144	85.409
0.420252151	93.507
0.440264158	100.561
0.460276166	109.006
0.480288173	117.316
0.50030018	127.364
0.520312187	135.202
0.540324195	144.171
0.560336202	153.943
0.580348209	163.385
0.600360216	174.666
0.620372223	184.059
0.640384231	196.3
0.660396238	207.435
0.680408245	219.062
0.700420252	232.402
0.720432259	245.96
0.740444267	262.11
0.760456274	278.675
0.780468281	295.112
0.800480288	311.852
0.820492295	327.23
0.840504303	345.463
0.86051631	364.36
0.880528317	383.547
0.900540324	401.366
0.920552331	420.92
0.940564339	441.617
0.960576346	460.017
0.980588353	481.114
1.00060036	502.534
1.020612367	524.008
1.040624375	543.697
1.060636382	566.546
1.080648389	588.892
