time	x
0	0
0.01	0.468553345
0.02	0.776244148
0.03	1.21241262
0.04	1.527124774
0.05	1.91283906
0.06	2.241238371
0.07	2.360891008
0.08	3.069981917
0.09	3.369489306
0.1	4.109628787
0.11	4.738454823
0.12	5.40220783
0.13	6.165923475
0.14	6.762672947
0.15	7.611875978
0.16	8.432166791
0.17	9.101150748
0.18	9.924235528
0.19	10.85460925
0.2	11.72622252
0.21	12.67479733
0.22	13.58804914
0.23	14.6486962
0.24	15.46292512
0.25	16.29113924
0.26	17.6981962
0.27	18.86962025
0.28	20.08236287
0.29	21.18328241
0.3	22.57327862
0.31	25.3766962
0.32	26.79922561
0.33	28.49240506
0.34	30.19236287
0.35	31.69440588
0.36	33.42276937
0.37	35.07051102
0.38	36.57940754
0.39	38.21004403
0.4	39.92236287
0.41	41.58804914
0.42	43.57528383
0.43	45.27983413
0.44	47.35115075
0.45	49.4756962
0.46	51.24660529
0.47	53.24404572
0.48	55.2956962
0.49	57.37705543
0.5	59.29440588
0.51	61.35236287
0.52	63.1713212
0.53	65.4806962
0.54	67.47387802
0.55	69.53311556
0.56	71.75145891
0.57	73.87587969
0.58	76.30275503
0.59	78.6446962
0.6	80.9338212
0.61	83.4775712
0.62	85.76998192
0.63	87.88186443
0.64	90.24890009
0.65	92.66324337
0.66	95.0788541
0.67	97.71630226
0.68	99.97870505
0.69	102.3852614
0.7	105.018803
0.71	107.4251406
0.72	110.0038094
0.73	112.5791656
0.74	115.2088212
0.75	117.7589929
0.76	120.3436083
0.77	122.807583
0.78	125.3739654
0.79	128.0524704
0.8	130.8435467
0.81	133.6195851
0.82	136.2017832
0.83	139.2002745
0.84	142.0219883
0.85	144.9412225
0.86	147.9403116
0.87	151.7798341
0.88	154.2879543
0.89	157.7985533
0.9	160.4968727
0.91	164.0623629
0.92	166.7369462
0.93	170.0183336
0.94	172.8877717
