time	x
0	0
0.009989012	0.400565771
0.019978024	0.443697479
0.029967036	0.789473684
0.039956048	1.084994861
0.04994506	1.610484928
0.059934073	1.597525309
0.069923085	2.561324042
0.079912097	4.749579832
0.089901109	5.504298357
0.099890121	5.659268005
0.109879133	6.50952381
0.119868145	7.668641115
0.129857157	8.828571429
0.139846169	10.99174877
0.149835181	11.96218487
0.159824193	13.25630252
0.169813205	14.7038961
0.179802218	16.2218845
0.18979123	17.89360902
0.199780242	18.66307278
0.209769254	19.99142857
0.219758266	21.27321429
0.229747278	22.83093168
0.23973629	24.83854447
0.249725302	27.28015873
0.259714314	27.96071429
0.269703326	30.19821429
0.279692338	31.86857143
0.289681351	33.32946429
0.299670363	35.81517857
0.309659375	37.83662338
0.319648387	39.39831933
0.329637399	39.69489796
0.339626411	42.67387218
0.349615423	45.56436597
0.359604435	43.69385382
0.369593447	46.49010989
0.379582459	50.5744898
0.389571471	55.04700461
0.399560483	54.96847291
0.409549496	56.40929919
0.419538508	60.06626984
0.42952752	64.82630835
0.439516532	66.79741641
0.449505544	67.52637363
0.459494556	70.72466165
0.469483568	75.54549689
0.47947258	74.3006079
0.489461592	80.18857143
0.499450604	81.8788961
0.509439616	77.89196429
0.519428629	81.54183673
0.529417641	88.96753247
0.539406653	93.8038961
0.549395665	92.70156794
0.559384677	84.10133929
0.569373689	82.14453782
0.579362701	86.88791209
0.589351713	88.53834586
0.599340725	99.99875776
0.609329737	107.6544643
0.619318749	108.9216366
0.629307761	111.043323
0.639296774	111.6499345
0.649285786	118.1330357
0.659274798	114.0514286
0.66926381	117.8294643
0.679252822	127.2228571
0.689241834	128.9914994
0.699230846	135.7182724
0.709219858	136.9042984
0.71920887	131.305102
0.729197882	137.8217143
0.739186894	138.9562061
0.749175907	143.5557143
0.759164919	158.112987
