time	x
0	0
0.020012007	2.18
0.040024014	4.684
0.060036022	8.198
0.080048029	14.345
0.100060036	18.874
0.120072043	24.672
0.14008405	30.879
0.160096058	37.979
0.180108065	46.062
0.200120072	53.131
0.220132079	60.805
0.240144086	68.73
0.260156094	77.491
0.280168101	86.724
0.300180108	95.649
0.320192115	104.801
0.340204122	114.287
0.36021613	124.186
0.380228137	135.507
0.400240144	146.53
0.420252151	158.352
0.440264158	170.167
0.460276166	183.183
0.480288173	196.837
0.50030018	211.191
0.520312187	227.381
0.540324195	243.073
0.560336202	259.551
0.580348209	275.402
0.600360216	292.376
0.620372223	309.362
0.640384231	327.07
0.660396238	344.334
0.680408245	362.041
0.700420252	381.054
0.720432259	401.296
0.740444267	420.83
0.760456274	439.985
0.780468281	461.397
0.800480288	480.803
0.820492295	502.559
0.840504303	523.59
0.86051631	544.195
0.880528317	566.021
