time	x
0	0
0.020012007	1.865
0.040024014	2.855
0.060036022	3.677
0.080048029	4.962
0.100060036	9.32
0.120072043	13.794
0.14008405	17.194
0.160096058	21.785
0.180108065	27.579
0.200120072	32.806
0.220132079	37.791
0.240144086	43.746
0.260156094	50.074
0.280168101	56.45
0.300180108	62.132
0.320192115	69.495
0.340204122	76.998
0.36021613	84.373
0.380228137	91.676
0.400240144	99.135
0.420252151	108.446
0.440264158	115.649
0.460276166	125.192
0.480288173	134.202
0.50030018	142.387
0.520312187	151.517
0.540324195	161.732
0.560336202	172.956
0.580348209	193.595
0.600360216	205.738
0.620372223	217.671
0.640384231	232.283
0.660396238	247.448
0.680408245	262.685
0.700420252	278.184
0.720432259	292.914
0.740444267	309.408
0.760456274	325.616
0.780468281	358.443
0.800480288	374.351
0.820492295	391.973
0.840504303	409.828
0.86051631	428.907
0.880528317	447.059
0.900540324	464.592
0.920552331	482.852
0.940564339	503.647
0.960576346	521.989
0.980588353	541.435
1.00060036	562.97
1.020612367	566.366
