time	x
0	0
0.020012007	0.831
0.040024014	0.445
0.060036022	1.829
0.080048029	4.255
0.100060036	6.564
0.120072043	10.186
0.14008405	15.897
0.160096058	20.6
0.180108065	25.074
0.200120072	31.424
0.220132079	38.121
0.240144086	44.122
0.260156094	52.044
0.280168101	58.743
0.300180108	67.451
0.320192115	75.432
0.340204122	84.017
0.36021613	92.287
0.380228137	101.44
0.400240144	110.523
0.420252151	118.864
0.440264158	129.614
0.460276166	138.96
0.480288173	149.508
0.50030018	159.912
0.520312187	171.874
0.540324195	183.112
0.560336202	195.919
0.580348209	208.832
0.600360216	221.058
0.620372223	239.636
0.640384231	258.798
0.660396238	276.916
0.680408245	293.77
0.700420252	311.696
0.720432259	331.909
0.740444267	349.599
0.760456274	371.171
0.780468281	391.627
0.800480288	410.951
0.820492295	431.834
0.840504303	454.65
0.86051631	480.525
0.880528317	501.264
0.900540324	524.829
0.920552331	548.15
0.940564339	571.563
